tweet_id,created_at,date,week,year,month,hour,weekday,period,username,platform,lang,location,hashtags,user_mentions,tweet_text_raw,text_clean,top_tfidf_term,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
1393819799206030000,2021-05-16,2021-05-16,2021-05-10,2021,5,0,Sunday,Apr-Jun 2021,nwrailways,Twitter Web App,en,Jaipur,"CoronaVirusUpdates, COVID19","COVIDNewsByMIB, ICMRDELHI","RT @COVIDNewsByMIB: #CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 31,48,50,143 samples tested upto May 15,…",rt USER coronavirusupdates testing status update USER stated NUMBER NUMBER NUMBER NUMBER sample tested upto may NUMBER,stated,0,2,0.03347170725464821,0.9469809532165527,0.019547410309314728,-0.01392429694533348,Neutral
1400450000000000000,2021-06-03,2021-06-03,2021-05-31,2021,6,0,Thursday,Apr-Jun 2021,dianeshute,Twitter Web App,en,"Salinas, CA",,DrTomFrieden,"RT @DrTomFrieden: In this case, the dictum, “No pain, no gain” simply doesn’t apply. https://t.co/WVDzHj0jXq",rt USER case dictum pain gain simply apply URL,pain,0,97,0.72319096326828,0.2656761407852173,0.011132890358567238,-0.7120580729097128,Negative
1387334919626510000,2021-04-28,2021-04-28,2021-04-26,2021,4,0,Wednesday,Apr-Jun 2021,faizi67202299,Twitter for Android,en,"Lucknow, India",,,"India's COVID-19 vaccine rollout is faltering, as cases and deaths surge Must watch and understand full video..… https://t.co/gRcQ0YkoWH",india NUMBER vaccine rollout faltering case death surge must watch understand full video URL,rollout,0,239,0.6278828382492065,0.3446069657802582,0.027510205283761024,-0.6003726329654455,Negative
1.26e+18,2020-05-13,2020-05-13,2020-05-11,2020,5,0,Wednesday,Apr-Jun 2020,dailypostngr,dlvr.it,en,Nigeria,,,COVID-19: Our entire confirmed positive cases entered Enugu illegally – Gov. Ugwuanyi https://t.co/KvqzdgFpVi https://t.co/953yrA61fV,NUMBER entire confirmed positive case entered enugu illegally gov ugwuanyi URL URL,entered,0,344,0.4770295023918152,0.5035109519958496,0.019459562376141548,-0.45756994001567364,Neutral
1.31e+18,2020-10-09,2020-10-09,2020-10-05,2020,10,0,Friday,Aug-Sep 2020,toludavies_,Twitter for iPhone,en,"Lagos, Nigeria",,"sunadex3, marcomendicino, CanHCGhana",RT @sunadex3: @marcomendicino Please have compassion on outland PR applicants too. Especially those of us in Accra VO @CanHCGhana . Our lif…,rt USER USER please compassion outland pr applicant especially u accra vo USER,compassion,0,105,0.13517773151397705,0.7923452854156494,0.07247693836688995,-0.0627007931470871,Neutral
1390033673387380000,2021-05-05,2021-05-05,2021-05-03,2021,5,0,Wednesday,Apr-Jun 2021,drlisakeating,Twitter for iPhone,en,Unknown,COVID,"anita_maguire, hea_irl",Great listening to ⁦@anita_maguire⁩ outline the impact of #COVID-19 on researchers and the benefit of ⁦@hea_irl⁩ Co… https://t.co/73OoBKiVPr,great listening USER outline impact NUMBER researcher benefit USER URL,listening,0,3682,0.004727756138890982,0.08925069868564606,0.9060215353965759,0.901293779257685,Positive
1395066749888960000,2021-05-19,2021-05-19,2021-05-17,2021,5,0,Wednesday,Apr-Jun 2021,m_star_online,Hootsuite Inc.,en,London,"Covid19, Scotland, SNP",,SNP urged new Scottish Cabinet to tackle Covid-19 recovery and climate emergency https://t.co/ie2OwfV8Gf #Covid19 #Scotland #SNP,snp urged new scottish cabinet tackle NUMBER recovery climate emergency URL scotland snp,scottish,0,267,0.11588046699762344,0.8256743550300598,0.05844521149992943,-0.057435255497694016,Neutral
1.32e+18,2020-10-11,2020-10-11,2020-10-05,2020,10,0,Sunday,Aug-Sep 2020,lionmsb,Twitter for Android,en,En el centre del món,,ModestyEvita,RT @ModestyEvita: Sweden has introduced new guidelines to curb a surge in coronavirus infections but is sticking to its largely voluntary a…,rt USER sweden introduced new guideline curb surge coronavirus infection sticking largely voluntary,curb,0,21079,0.12926961481571198,0.848070502281189,0.022659916430711746,-0.10660969838500023,Neutral
1.26e+18,2020-05-24,2020-05-24,2020-05-18,2020,5,0,Sunday,Apr-Jun 2020,imtiyaz55418194,Twitter for iPhone,en,"Mumbai, India",,naukarshah,"RT @naukarshah: Such being the case, and also because you have put entire burden of dealing with covid-19 crisis to the states, states effe…",rt USER case also put entire burden dealing NUMBER crisis state state,state,0,0,0.40075981616973877,0.5793886780738831,0.019851556047797203,-0.38090826012194157,Neutral
1.3e+18,2020-08-28,2020-08-28,2020-08-24,2020,8,0,Friday,Aug-Sep 2020,tristannodalo,Twitter for iPhone,en,Unknown,,,DOLE says that 62 of the OFWs who died in Saudi Arabia succumbed to COVID-19 while 10 died of other causes.… https://t.co/iucVUqQbX6,dole say NUMBER ofws died saudi arabia succumbed NUMBER NUMBER died URL,died,0,0,0.5376728177070618,0.4504733979701996,0.011853805743157864,-0.5258190119639039,Negative
