period,week,average_sentiment,tweet_count
Apr-Jun 2020,2020-04-13,-0.02144146536011249,4
Apr-Jun 2020,2020-04-20,-0.22656082201071762,99
Apr-Jun 2020,2020-04-27,-0.1382392678046509,207
Apr-Jun 2020,2020-05-04,-0.15808255208315114,228
Apr-Jun 2020,2020-05-11,-0.16149941414405952,153
Apr-Jun 2020,2020-05-18,-0.15303045089301243,143
Apr-Jun 2020,2020-05-25,-0.1337618462867656,59
Apr-Jun 2020,2020-06-01,-0.28142189512145704,40
Apr-Jun 2020,2020-06-08,-0.25074639299677476,45
Apr-Jun 2020,2020-06-15,-0.2876033848574893,22
Apr-Jun 2021,2021-04-26,-0.036015221644570494,74
Apr-Jun 2021,2021-05-03,-0.10558745146194912,136
Apr-Jun 2021,2021-05-10,-0.05833246744737995,54
Apr-Jun 2021,2021-05-17,-0.020852355829092784,118
Apr-Jun 2021,2021-05-24,-0.19144281922470804,149
Apr-Jun 2021,2021-05-31,-0.07257622468262467,143
Apr-Jun 2021,2021-06-07,-0.11124116122636613,157
Apr-Jun 2021,2021-06-14,-0.09961512438660007,124
Apr-Jun 2021,2021-06-21,-0.030061768799916736,45
Aug-Sep 2020,2020-08-17,-0.11520418796135345,48
Aug-Sep 2020,2020-08-24,-0.2727146601962251,63
Aug-Sep 2020,2020-08-31,-0.20953799423063174,100
Aug-Sep 2020,2020-09-07,-0.3128343329666869,19
Aug-Sep 2020,2020-09-14,-0.13678179230730705,54
Aug-Sep 2020,2020-09-21,-0.18332847276222752,165
Aug-Sep 2020,2020-09-28,-0.09440406757612647,215
Aug-Sep 2020,2020-10-05,-0.2225213506811115,132
Aug-Sep 2020,2020-10-12,-0.16950387415554202,173
Aug-Sep 2020,2020-10-19,-0.12774475103604696,31
